game_id,team_home,team_away,goals_home,goals_away,OT,points_home,points_away,home_wins,season
/zapas/2526110,Arizona Coyotes,Detroit Red Wings,2,4,0,0.0,3.0,0.0,2017
/zapas/2526111,San Jose Sharks,Buffalo Sabres,3,2,0,3.0,0.0,1.0,2017
/zapas/2526112,New Jersey Devils,Washington Capitals,2,5,0,0.0,3.0,0.0,2017
/zapas/2526113,Columbus Blue Jackets,New York Rangers,3,1,0,3.0,0.0,1.0,2017
/zapas/2526114,Colorado Avalanche,Anaheim Ducks,3,1,0,3.0,0.0,1.0,2017
/zapas/2526115,Calgary Flames,Ottawa Senators,0,6,0,0.0,3.0,0.0,2017
/zapas/2526116,Vegas Golden Knights,Detroit Red Wings,3,6,0,0.0,3.0,0.0,2017
/zapas/2526117,Winnipeg Jets,Carolina Hurricanes,2,1,0,3.0,0.0,1.0,2017
/zapas/2526118,New York Rangers,New Jersey Devils,2,3,0,0.0,3.0,0.0,2017
/zapas/2526119,Montreal Canadiens,Toronto Maple Leafs,3,4,1,1.0,2.0,0.0,2017
/zapas/2526120,Pittsburgh Penguins,Florida Panthers,4,3,0,3.0,0.0,1.0,2017
/zapas/2526121,Philadelphia Flyers,Washington Capitals,8,2,0,3.0,0.0,1.0,2017
/zapas/2526122,Tampa Bay Lightning,St. Louis Blues,2,1,0,3.0,0.0,1.0,2017
/zapas/2526123,Dallas Stars,Colorado Avalanche,3,1,0,3.0,0.0,1.0,2017
/zapas/2526124,Minnesota Wild,Columbus Blue Jackets,4,5,1,1.0,2.0,0.0,2017
/zapas/2526125,Chicago Blackhawks,Nashville Predators,2,1,1,2.0,1.0,1.0,2017
/zapas/2526126,Arizona Coyotes,Boston Bruins,2,6,0,0.0,3.0,0.0,2017
/zapas/2526127,Vancouver Canucks,Calgary Flames,2,5,0,0.0,3.0,0.0,2017
/zapas/2526128,Edmonton Oilers,Ottawa Senators,1,6,0,0.0,3.0,0.0,2017
/zapas/2526129,San Jose Sharks,New York Islanders,1,3,0,0.0,3.0,0.0,2017
/zapas/2526130,Los Angeles Kings,Buffalo Sabres,4,2,0,3.0,0.0,1.0,2017
/zapas/2526131,Vegas Golden Knights,Boston Bruins,3,1,0,3.0,0.0,1.0,2017
/zapas/2526132,Anaheim Ducks,Buffalo Sabres,1,3,0,0.0,3.0,0.0,2017
/zapas/2526133,Los Angeles Kings,New York Islanders,3,2,0,3.0,0.0,1.0,2017
/zapas/2526134,Detroit Red Wings,Tampa Bay Lightning,2,3,0,0.0,3.0,0.0,2017
/zapas/2526135,New York Rangers,Pittsburgh Penguins,4,5,1,1.0,2.0,0.0,2017
